Program,Notes,Frequencies
"Sinusitis 2",,125|160|367|472|600|615|625|650|820|952|1150|1520|1865|2000|4392|4400|4412
"Sinusitis 3",,60|95|128|225|414|427|432|456|610|614|618|1234|2600|5500|304
"Sinusitis 4",,107|160|952|942|320|741|682|1395
"Sinusitis Frontalis",,952|320|682
"Sinusitis Maxillaris",,160|741
"Sinusitis Stubborn TR",,10000|7344|5000|2950|2900|2650|2600|1550|1234|740|880|787|727|330|165|82.6|41.75|20.87|30
"Sleeping Sickness",,120|20
"Slipped Discs","Spasms from microbial toxins",125|880|787|728|727|95|72|20
"Smallpox","Also known as variola, an extremely contagious viral disease marked by fever, prostration, and a rash of small blisters",3222|2544|2132|1644|1550|876|832|802|569|542|511|476|142
"Smallpox Secondary",,334|360|471|647|506|711|880|787|727|20
"Smegma",,153|180|638
"Sneezing",,880|787|727|683|465|146
"Solfeggio Scale",,852|741|639|528|417|396
"Sore Throat","Also see Pharyngitis, Strep general, Strep pyrogenes, and Actinomyces israelii",2720|2489|1800|1600|1550|802|885|880|875|787|776|727|46.5|766
"Sore Throat 1",,34464|14080|4192|3552|2720|2489|2154|1800|1600|1550|802|885|880|875|787|776|727|46.5|766|222|262
"Sore Throat Comp",,34464|14080|10000|8450|7880|5004|4192|3552|2720|2502|2489|2154|2111|1998|1840|1800|1600|1560|1550|1214|1000|925|885|880|875|845|802|787|776|766|747|735|727|720|690|666|660|625.5|624|616|590|567|522|488|465|440|432|380|340|262|222|151|146|120|46.5|23
"Sore Throat TR",,2720|1800|144|452
"Sorghum Smut","Homeopathic preparation for an allergen",294
"Sorghum Syrup HC",,13791.02|686.61
"Spasms Muscle",,6.8
"Spastic Paresis",,30.87|48
"Sphaerotilus Natans HC",,19466.74|969.19
"Spirillum Serpens HC",,18919.09|941.93
"Spleen Enlarged",,35|787|3176
"Spleen Secondary",,10000|2720|2170|1800|1550|880|802|727|465|20
"Sporobolomyces",,753|700
"Sporotrichum Prutinosum",,584|598|687|755|715
"Stammering",,10000|20|6000|7.83
"Staph Infection 1",,943|727|643|20
"Staph And Strep V",,40887|9646|7160|2431|1902|1109|1060|1050|1010|985|958|934|786|727|718|686|643|576|563|542|453|436|423|411|333|134|128
"Staphylococci Infection","See also other Staph freqs, 727*, 786*",960|727|786|453|678|674|550|1109|424|943|1050|643|2600|7160|639|1089|8697
"Staphylococcus Aureus","Can cause boils, carbuncles, abscesses, tooth infection, heart disease, and infect tumors, 786*",8697|7270|1050|999|943|824.4|787|784|745|738|728|727|647|644|555|478|424
"Staphylococcus Aureus HC","Tooth infection, abscesses, heart disease, invades tumors",18819.51|936.97|18968.87|944.40
"Staphylococcus Coagulae Positive",,643
"Staphylococcus Comp",,40887|9646|8697|7270|7160|2600|2431|1902|1109|1089|1060|1050|1010|999|985|960|958|943|934|884|882|880|878|876|824.4|787|786|784|745|738|728|727|718|686|678|674|647|644|643|639|634|576|563|555|550|542|478|453|436|424|423|411|333|134|128
"Staphylococcus General","728*, 786*",7160|1109|1089|885|884|883|882|881|880|879|878|877|876|875|786|728|674|639|634|550|453
"Stemonius HC",,10505.07|523.02
"Stemphylium",,461|340|114
"Sterigmatocystin HC",,6621.68|6273.17|4779.56|4381.26|329.67|312.32|237.96|218.13
"Stiff Muscles Comp",,6000|1800|1550|880|802|787|776|776|766|728|727|328|320|304|300|250|240|160|125|80|40|20|10|9.19|6|5.8|4.9|2.5|1.5|1.2|1|0.5
"Stiff Muscles",,320|328|304|300|240|160|776|728|1800|125|80|40|20|6000
"Stiff Muscles Secondary",,250|10|5.8|2.5|1.5|1.2|1|0.5|1550|802|880|787|776
"Stiff Neck",,4.9|6|9.19
"Stiff Shoulder","See also Rheumatism",10000|727|766|20
"Stigeoclonium HC",,20512.27|1021.25|20263.34|1008.85
"Stomach Disorders","See also E. Coli and Parasites general if no lasting relief",2127|2008|1552|880|832|802|784|727|690|676|664|450|422|125|95|72|20|3.9
"Stomach Gas",,50|51|52|53|56|59
"Stomatitis","Inflammation of mucous membranes in the mouth. See also Candida, Herpes simplex I, Stomatitis aphthous, Pyorrhea, and Gingivitis",465|677|702|787|234|278|568|672
"Stomatitis Aphthous","Ulcers on mucous membrane of mouth. Also called canker sores. All freqs for 5 min",478|487|498|788|955|982|1902|1904|1906
"Stomatitis Aphthous 1","All freqs for 5 min",1901|1902|1903|1904|1905|1906|1907
"Stomatitis Aphthous V",,888|880|848|846|831|685|742|734|1043|944|782|591|480|423|343|339|322|832|556|808|534|460|424|246
"Strep And Staph V",,9647|40887|7160|2431|1902|1109|1060|1050|1010|985|958|935|786|727|718|686|643|576|563|542|453|436|423|411|333|134|128
"Strep Mutans","Use Strep viridans",
"Strep Sweep TR","Sweep for strep pneumonia, group G, and pyogenes strains. Sweep from 5632.8152 to 5763 by 0.015625 and 5763 to 6053.125 by 0.03125 for dwell 0.25 and pulse 64 75",
"Strep Virus",,563|611|727
"Streptococcus Enterococcinum","Can cause infection in the digestive and urinary tracts",686|409
"Streptococcus Hemolytic","Blood infection by strep, 1522*, 535*, 368*, 318*",728|880|786|712|128|134|334|443|535|542|675|1415|1522|1902|691|710|1203|368|318
"Streptococcus Infection General","Streptococcus family. Also see General antiseptic and other Strep sets, 880*",2000|1266|885|884|883|882|881|880|879|878|877|876|875|848|802|800|787|784|727
"Streptococcus Lactis HC","Occurs in milk",19168.02|954.32
"Streptococcus Mitis HC","Lung infection, tooth infection, abscesses, stiff knees",15832.29|788.24
"Streptococcus Mutant Strain",,114|437|625|883|994
"Streptococcus Mutant Strain Secondary",,108|433|488|687|833|8686|8777|9676|660|732|745|754|764
"Streptococcus Pepto","Can infect digestive tract",201|629
"Streptococcus Pneumoniae","Can cause pneumonia, empyema, middle ear infections, endocarditis, peritonitis, arthritis, bacteremia, and meningitis, 683*, 688*",231|232|683|688|776|766|728|846|1552|8865
"Streptococcus Pneumoniae HC","Pneumonia, inner ear disease",18321.64|912.18
"Streptococcus Pneumoniae Hi Alt",,1136.7|2273.4|46275|46065.5|46000|45856|23138|23032.8|23000|22938|4546.9|18187.4|36374.8|72749.6|625.5|20015.3|40030.6
"Streptococcus Pneumoniae Mixed Flora",,158|174|645|801
"Streptococcus Pyogenes","Pus forming infections. Can cause sore throat, skin inflammation, scarlet fever, pharyngitis, scarlet fever, impetigo, erysipelas, cellulitis, septicemia, toxic shock syndrome, and acute glomerulonephritis See also General antiseptic",10000|5004|8450|2502|2111|1214|880|880|845|787|776|735|727|720|660|625.5|616|465|20
"Streptococcus Pyogenes HC","Infects teeth",18570.58|924.57
"Streptococcus Sp Group G HC",,18321.64|912.18
"Streptococcus Viridans","425*, 433*",425|433|445|935|1010|1060|8478|457|465|777|778|1214|1216
"Streptomyces Griseus","Soil bacteria which yields streptomycin",333|887
"Streptothrix","Includes Actinomycosis, Nocardia, and Actinomyces israeli",10000|7880|7870|2890|2154|887|787|784|747|727|678|567|488|465|262|237|231|228|222|192|157|20
"Stroke Follow Up","Ensure adequate water, minerals especially magnesium, and omega 3 intake and consider using enzymes like bromelain to inhibit clotting",2112|3|203|1800|880|787|727|650|625|600|125|95|72|1865|522|428|10000|20|2720
"Strongyloides","Use Parasites, strongyloides",
"Struma","Family of organisms that can infect the thyroid causing goiter. Use kelp internally. Use Struma cystica, nodosa, and parenchyme freqs.",
"Struma Cystica",,5311|531|756|361
"Struma Nodosa",,105|122|321|517|532|651|714
"Struma Parenchyme",,121|576
"Stye","Staph infection of sebaceous gland of eyelash. Also use Staphylococci infection set",10000|880|787|727|20|453|2600
"Subluxation Induced Disorders",,9.6
"Sudor Pedis","Excessive foot sweat",148
"Sun Allergy","Examine prescription drugs, such as Psoralen, for photo sensitization properties. ",3|330|10000
"Sunstroke",,444|440|190|3000|95|522|146|880|20|10000
"Surgery Anaesthesia Detox","See also Liver support",522|146
"Surgery Preop Postop Prevent Infections","See also General antiseptic, Staph, and Strep sets",2170|1800|1600|1550|802|1500|880|832|802|787|776|727|465|444|522|146|428
"Surgical Pain Post Op",,3000|2720|95
"SV40","Use Simian_virus_40",
"Swelling","Edema. See also Kidney insufficiency and Lymph stasis freqs",522|146|6.3|148|444|440|880|787|727|20|10000|5000|3000
"Swimmers Ear","Also see Pseudomonas aeruginosa and Otitis externa. To help prevent, always disinfect and dry ears after using public pools with 40% alcohol solution such as vodka or white rum",728|784|880|464|174|482|5311
"Swollen Glands","Use Lymph and see Mumps freq sets as appropriate",
"Syphilis",,6600|789|900|2776|177|650|625|600|660|658
"T-lymph Virus TR",,8225|6353|6230|3806|2664|2432|1675|1230|1220|965|844|837|776|732|725|714|646|633|392|314|245|243|111
"Tachycardia","Rapid heart beat. For lab animals only. See also Heart tonic, Relaxation sets.",1.2
"Taenia","Use Parasites tapeworm",
"Tainio Sweep","Sweep from 42 to 72 Hz in small intervals, at most 1Hz, to possibly stimulate the immune system",
"Taste Lack Of",,10000|20
"Tendomyopathy",,320|250|160|80|40|20|10|5.8|2.5|1.5|1.2|1|0.5
"Tetanus","Infectious disease of the central nervous system caused by clostridium tetani",15770|1200|1142|880|700|628|600|554|465|458|400|363|352|244|234|120|20
"Tetanus Secondary",,880|787|727
"Tetragenus",,393|433|2712
"Thalamus Stimulant",,20
"Thermi Bacteria",,233|441
"Throat Tickle Chronic","See also Streptococcus and Strep pneumonia sets",120|666|690|727|787|800|880|1560|1840|1998|766|776
"Thrombophlebitis","Inflammation of vein walls from clotting. Use on lab animals only. See also Circulatory stasis and Stroke_followup",1500|776|685
"Thrombosis Infective Herpes Type","Not to be used with arrhythmia or in U.S.",2720|2489|2170|1800|1550|802|880|787|727|444|125|95|72|20|444|1865|1489
"Thrush","Use Candida and see Stomatitis freqs",414|465
"Thymus Stimulation",,20
"Tinea Cruris","Use Epidermophyton floccinum",
"Tinea Pedis","Use Trichophyon mentagrophyte",
"Tinea Versicolor","Use Malassezia furfur",
"Tinnitus","See also Circulatory stasis, Dental, Dental foci, General antiseptic, and Otitis freqs",20|2720|728|784|880
"Tobacco Mosaic",,233|274|543|782|1052
"Tobacco Mosaic Virus HC",,21308.87|1060.91
"Tonsillar Nodules",,246|151|414
"Tonsillar Nosode",,1656
"Tonsillitis","Inflammation of tonsils",1.2|73|1550|802|1500|880|832|787|776|727|650|625|600|465|144|452|582
"Tooth Extraction Followup","See also General antiseptic set",3000|2720|95|47.5|7.82
"Toothache","To neglect this can prevent recovery from any illness. Should also be treated professionally. See also Dental, Dental foci, Gingivitis, Pyorrhea.",5170|3000|2720|2489|1800|1600|1550|1500|880|832|802|787|776|776|727|666|650|646|600|465|190|95|47.5
"Toxin Elimination",,0.5|522|146|1552|800
"Toxoplasma HC","Human strain",19665.89|979.11
"Toxoplasmosis","A serious, infectious disease that can be either acquired or present at birth and that is commonly contracted by handling contaminated cat litter",434|852
"Trachoma","Use Chlamydia trachomatis",
"Transformation Series","Includes 18 ZOBET, 6 of which are the Sacred Solfeggio, 9 Activation, One KI, and the Sacred Spiral",9999|147|174|417|471|714|741|258|285|528|582|825|852|369|396|639|693|936|963|2664|3330|3996|774|855|1584|1746|2475|2556|9990|144|234|378|612|991|1604
"Trauma",,96|192|300|760|3000
"Trench Mouth","Use Gingivitis",
"Treponema Pallidum","Use also Syphilis",660|902
"Treponema Pallidum HC","Causes syphilis",17276.11|860.13
"Trichinosis","Use Parasites_trichinosis",
"Trichodermia",,711
"Trichomonas","A microorganism causing vaginal irritation with discharge and itching",610|692|980
"Trichophyton General",,132|725|808|812|2422|9493
"Trichophyton Mentagrophytes",,
"Trichophyton Nagel",,381|585|593|812
"Trichophyton Nagel Secondary",,133|142|373|376|378|385|387|420|425|428|576|578|580|581|583|584|587|588|592|595|597|724|725|726|750|794|797|801|805|808|809|817|886|2422|6887|7688|7697|7885|584|587|592|732|733|738|748|765|766|771|777|778|779|1256
"Trichophyton Rubrum",,752|923
"Trichophyton Tonsuraus",,454|765
"Trigeminal Neuralgia",,2720|2489|2170|1800|1600|1550|802|7.5|880|832|787|776|760|727|650|146|7.82|27.5|428
"Troglodytella Abrassari HC",,19068.45|949.36|20860.78|1038.60
"Trypanosoma Gambiense",,255|316|403|700|724
"Tuberculinum",,332|522|664|731|737|748|1085|1099|1700|761
"Tuberculosis","Also see Tuberculinum. Some think some chronic lung infections can actually be a mild case of TB and recommend to run a TB set periodically, especially after traveling on airplanes and/or abroad. 1552*, 802*",8030|16000|1840|1600|1552|1550|1513|1500|803|802|784|740|727|720|690|666|583|541|369|216|20
"Tuberculosis Aviare",,303|332|342|438|440|532|3113|6515|697|698|720|731|741|748|770
"Tuberculosis Bovine",,229|523|625|635|838|877|3353|748|757
"Tuberculosis Klebsiella",,217|220|221|686|1132|1644|2313|6516|729|748
"Tuberculosis Rod E Coli Infections",,799|802|804|1550|1513
"Tuberculosis Rod Form","803*",8030|369|583|541|802|803|1513
"Tuberculosis Secondary Complications",,776|2127|2008|465
"Tuberculosis Virus","1552*",2565|1552
"Tularemia","A serious infectious disease also called deerfly fever or rabbit fever",324|427|823
"Tumor Brain"," use Cancer, astrocytoma, glioma, glioblastoma",
"Tumor Benign",,1|10|10.2|10.4|10.6|10.8|11
"Turbatrix",,104
"Typhoid Fever","Typhus infection related symptoms causing high fever, headache, and rash. Also use Salmonella typhi and Rickettsia and see Q fever.",9680|18620|13944|6900|3205|1868|1866|1864|1862|1860|1800|1550|1445|900|869|824|802|760|714|712|690
"Ulcer Duodenal",,676|727|750|880|10000
"Ulcer Gastric",,676
"Ulcer Parasites",,3|3.5|4|6.8|9.9
"Ulcer Ventric",,142|566|676|232|1000
"Ulcer Ventricular",,769|760
"Ulcers General",,676|664|802|784|2489|2170|2127|1800|1600|880|832|802|787|776|727|73
"Urea Plasma",,756
"Uremia","Also known as uremic poisoning; excessive amounts of nitrogenous waste products in the blood, as seen in kidney failure. Also use Kidney and Lymph stasis freqs.",911
"Urethritis","Also see Vaginosis and use Chlamydia trachomatis",2720|2170|2127|1800|1600|1550|802|1500|880|832|787|776|727|660|650|625|600|465|444|1865|125|95|72|1.2
"Urinary Tract Infections","Also see Bacterium_coli sets",2050|880|1550|802|787|727|465|20|9.39|642|358|539
"Urticaria","Hives, often due to toxins",1800|880|787|727|522|146|4.9
"Uterine Polyp",,689
"Vaccinium","A homeopathic nosode",476
"Vaginosis","Non-specific infection. Also see Gardinerella, Candida, and Trichomonas",414|542|642|652|800|832|845|866|942|728|784|880|464
"Varicella","Use herpes zoster",
"Varicoses",,1.2|28
"Variola","Use Smallpox",
"Vegetative Dystonia","Involuntary muscle dysfunction",40
"Veillonella Dispar HC",,20064.19|998.94
"Vein Thrombosis","Use Thrombophlebitis",
"Verruca","Use Wart_verruca",
"Vertigo","Also use Otitis, Meniere’s, and see General antiseptic freqs",60|5.8|4
"Vertigo TR",,880|802|784|787|786|766|522|727|720|688|683|652|645|316|72|92|60|58|40|1550
"Viral Complex TR",,10000|7344|5000|2950|2900|2650|2600|1550|1234|430|620|624|646|866|5148|2213|1918|742.4|303|23.2|20|864|790|690|610|470|484|986|644|254|30|33|6000|599|611|613|2127|2080|2050|2013|2008|2003|2000|1850|880|803|800|787|727|660|484|465|440|35|500|200|68
"Vision Poor","See also Cataracts. Run 1830 for 15 minutes.",350|360|1830
"Visual Acuity","Run 1830 for 10 minutes",3176|1860|1856|1852|1848|1846|1842|1838|1834|1830|1826|1822|1818|1814|1810|1806|1802|360|350
"Vitamag Complete Set",,1|2|3|4|5|6|7|7.8|9|10|13|16|19.5|22.5|24
"Vitiligo","Loss of pigmentation in areas of skin. Use with B complex with extra PABA internally and PABA cream topically. Also see E. coli, Parasite General, Liver support, and Fungus freqs if necessary",440|600|650|2112|880|787|727|444|20
"Wart Condyloma","Venereal warts caused by infectious papilloma virus",466|907
"Warts General"," also see Papilloma and Parasites roundworms and Parasites, flukes general",2720|2489|2170|2127|2008|1800|1600|1500|907|915|874|727|690|666|660|644|767|953|495|466|110
"Warts 1","Apply with pad at negative 24v for 5 min at a time",21750
"Warts Papilloma"," branch or stalk, use Papilloma virus",
"Warts Plantar","Use 915 and 918 for 15 to 30min",915|918|20|120|727.5|787|880|2008|2127.5
"Warts Verruca","A rough surfaced, supposedly harmless, viral caused skin wart",495|644|767|797|877|953|173|787
"Wellness",,6.8|7.83
"Werlhof",,690|452
"West Nile 1",,413|826|1239|3303|465|841|8410
"West Nile 2",,1385|1115|841|799|730|697|686|664|514|498|484|434|404|313|240
"Wheat Smut",,10163|156|375
"Wheat Stem Rust 1",,643
"Whiplash",,20|2720|10000
"White Blood Cell Stimulation","Use Immune system stimulation",
"Whooping Cough","Use Pertussis",
"Wolhynia Fever","A Rickettsia illness, transmitted by lice, that is debilitating and conducive to relapse. Also see Rickettsia",547
"Wound Healing","Also see General antiseptic",2720|880|787|727|220|190|20|40
"Yeast Cervical","Also use Candida",788|706|771
"Yeast General","Also see Candida. Use Parasites general, roundworm, and ascaris if no lasting relief",72|254|375|522|876|987|414|422|465|582|787|1016|2222
"Yeast General V",,72|422|582|787|1016|2222|1134|254|987|986|984|982|980|974|908|906|878|876|873|871|866|865|864|863|861|778
"Yellow Fever","A severe viral infection which can cause damage to the liver, kidneys, heart, and entire gastrointestinal tract",20|142|178|232|432|734|1187|733|779|10000
"Yellow Fly",,996
"Yersenia Pestis","Aka Bubonic plague; spread primarily by fleas on rats ",5120|5000|1600|512|508|504|500|496|492|338|333|210|216|160
"Yersenia Pestis 1",,337.6
"Zearalenone HC",,4978.71|247.88
"Zygomycosis","Also called mucormycosis; a serious fungal infection usually associated with uncontrolled diabetes mellitus or immunosuppressive drugs",942|623|73
